Pos,Player ,,,,,
QB,Tom Brady%,,,,,
QB,Tony Romo,,,,,
QB,Ben Roethlisberger%,,,,,
QB,Matt Ryan+,,,,,
QB,Andy Dalton+,,,,,
QB,Andrew Luck,,,,,
QB,Peyton Manning%,,,,,
QB,Matthew Stafford+,,,,,
QB,Drew Brees+,,,,,
QB,Russell Wilson+%,,,,,
RB,Le'Veon Bell%,,,,,
RB,Darren Sproles,,,,,
RB,DeMarco Murray,,,,,
RB,Marshawn Lynch%,,,,,
RB,Justin Forsett+,,,,,
RB,C.J. Anderson+,,,,,
RB,Arian Foster%,,,,,
RB,Jamaal Charles,,,,,
RB,Mark Ingram+,,,,,
RB,LeSean McCoy%,,,,,
RB,Alfred Morris+,,,,,
FB,John Kuhn,,,,,
FB,Marcel Reece,,,,,
WR,Antonio Brown,,,,,
,,,,,,
WR,Dez Bryant%,,,,,
WR,Matthew Slater%,,,,,
WR,Jordy Nelson,,,,,
WR,Julio Jones%,,,,,
WR,Emmanuel Sanders+,,,,,
WR,Odell Beckham Jr.+,,,,,
WR,Demaryius Thomas%,,,,,
WR,Devin Hester,,,,,
WR,Randall Cobb+,,,,,
WR,A.J. Green,,,,,
WR,T.Y. Hilton,,,,,
WR,Calvin Johnson%,,,,,
WR,Golden Tate+,,,,,
TE,Rob Gronkowski%,,,,,
TE,Greg Olsen,,,,,
TE,Martellus Bennett+,,,,,
TE,Jason Witten+,,,,,
TE,Julius Thomas%,,,,,
TE,Jimmy Graham,,,,,
LT,Joe Thomas,,,,,
LT,Ryan Clady,,,,,
T,Jason Peters%,,,,,
T,Duane Brown+,,,,,
T,Trent Williams%,,,,,
LG,Josh Sitton,,,,,
,,,,,,
LG,Kyle Long,,,,,
G,Zack Martin,,,,,
G,Jahri Evans%,,,,,
G,Evan Mathis+,,,,,
G,Mike Iupati%,,,,,
C,Travis Frederick,,,,,
C,Nick Mangold,,,,,
C,Maurkice Pouncey,,,,,
C,Jason Kelce,,,,,
RG,Marshal Yanda,,,,,
RG,Mike Pouncey+,,,,,
RT,Tyron Smith,,,,,
RT,Joe Staley,,,,,
DE,J.J. Watt,,,,,
DE,Mario Williams,,,,,
DE,Robert Quinn,,,,,
DE,Calais Campbell,,,,,
DE,Cameron Wake,,,,,
DE,DeMarcus Ware,,,,,
DT,Ndamukong Suh%,,,,,
DT,Marcell Dareus,,,,,
DT,Gerald McCoy%,,,,,
DT,Sheldon Richardson+,,,,,
DT,Aaron Donald,,,,,
DT,Kyle Williams,,,,,
,,,,,,
DT,Geno Atkins+,,,,,
NT,Dontari Poe,,,,,
OLB,Von Miller,,,,,
OLB,Elvis Dumervil,,,,,
OLB,Connor Barwin,,,,,
OLB,Clay Matthews,,,,,
OLB,Tamba Hali,,,,,
ILB,Lawrence Timmons,,,,,
ILB,D'Qwell Jackson+,,,,,
MLB,Luke Kuechly,,,,,
MLB,C.J. Mosley,,,,,
LB,Justin Houston%,,,,,
LB,Bobby Wagner%,,,,,
CB,Darrelle Revis%,,,,,
CB,Vontae Davis,,,,,
CB,Brent Grimes,,,,,
CB,Joe Haden,,,,,
CB,Antonio Cromartie+,,,,,
CB,Patrick Peterson,,,,,
CB,Aqib Talib,,,,,
CB,Sam Shields+,,,,,
SS,Kam Chancellor%,,,,,
SS,Mike Adams+,,,,,
SS,T.J. Ward,,,,,
SS,Darrell Stuckey+,,,,,
,,,,,,
SS,Antoine Bethea+,,,,,
FS,Eric Weddle,,,,,
FS,Earl Thomas%,,,,,
FS,Glover Quin,,,,,
FS,Donte Whitner+,,,,,
LS,Jon Dorenbos,,,,,
LS,L.P. Ladouceur,,,,,
DB,Richard Sherman%,,,,,
DB,Chris Harris Jr.,,,,,
DB,Justin Bethel,,,,,
DB,Tashaun Gipson%,,,,,
K,Adam Vinatieri,,,,,
K,Stephen Gostkowski%,,,,,
K,Cody Parkey+,,,,,
P,Pat McAfee,,,,,
P,Kevin Huber,,,,,
C,Nick Mangold+,,,,,
C,Mike Pouncey%,,,,,
C,Eric Wood+,,,,,
C,Alex Mack,,,,,
C,Travis Frederick,,,,,
C,Ryan Kalil%,,,,,
CB,Jason Verrett+,,,,,
CB,Darrelle Revis%,,,,,
CB,Dominique Rodgers-Cromartie+,,,,,
CB,Brent Grimes+,,,,,
CB,Aqib Talib%,,,,,
CB,Vontae Davis+,,,,,
CB,Adam Jones+,,,,,
CB,Desmond Trufant+,,,,,
CB,Marcus Peters,,,,,
CB,Richard Sherman,,,,,
CB/ST,Justin Bethel,,,,,
DB,Malcolm Butler%,,,,,
DB,Chris Harris Jr.%,,,,,
DB,Josh Norman%,,,,,
DB,Patrick Peterson%,,,,,
DB,Tyrann Mathieu%,,,,,
DE,Chandler Jones%,,,,,
DE,Everson Griffen+,,,,,
DE,Carlos Dunlap+,,,,,
DE,Cameron Jordan+,,,,,
DE,Michael Bennett,,,,,
DE,Ezekiel Ansah,,,,,
DE,J.J. Watt%,,,,,
DE,Khalil Mack,,,,,
DT,Gerald McCoy,,,,,
DT,Jurrell Casey+,,,,,
DT,Calais Campbell,,,,,
DT,Fletcher Cox,,,,,
DT,Muhammad Wilkerson%,,,,,
DT,Kawann Short%,,,,,
DT,Geno Atkins,,,,,
DT,Aaron Donald,,,,,
FB,John Kuhn+,,,,,
FB,Mike Tolbert%,,,,,
FB,Patrick DiMarco+,,,,,
FS,Charles Woodson,,,,,
FS,Reggie Nelson%,,,,,
FS,Malcolm Jenkins+,,,,,
FS,Earl Thomas%,,,,,
G,Trai Turner%,,,,,
G,Mike Iupati%,,,,,
G,Richie Incognito+,,,,,
G,David DeCastro,,,,,
HB/ST,Cedric Peerman+,,,,,
K,Josh Brown+,,,,,
K,Dan Bailey,,,,,
K,Stephen Gostkowski%,,,,,
LB,Elvis Dumervil+,,,,,
LB,Bobby Wagner,,,,,
LB,Jamie Collins%,,,,,
LB,Lavonte David+,,,,,
LB,NaVorro Bowman,,,,,
LB,Justin Houston%,,,,,
LB,Von Miller%,,,,,
LB,Luke Kuechly%,,,,,
LG,Josh Sitton,,,,,
LG,Zack Martin,,,,,
LS,Morgan Cox,,,,,
LS,Jon Weeks,,,,,
LT,Tyron Smith,,,,,
LT,Joe Thomas,,,,,
MLB,Clay Matthews,,,,,
MLB,Derrick Johnson+,,,,,
OLB,Tamba Hali,,,,,
OLB,Julius Peppers+,,,,,
OLB,DeMarcus Ware%,,,,,
OLB,Sean Lee+,,,,,
OLB,Anthony Barr+,,,,,
OLB,Thomas Davis%,,,,,
P,Sam Koch,,,,,
P,Johnny Hekker,,,,,
QB,Jameis Winston+,,,,,
QB,Russell Wilson,,,,,
QB,Derek Carr+,,,,,
QB,Ben Roethlisberger%,,,,,
QB,Eli Manning+,,,,,
QB,Teddy Bridgewater+,,,,,
QB,Aaron Rodgers%,,,,,
QB,Tyrod Taylor+,,,,,
QB,Tom Brady%,,,,,
QB,Carson Palmer%,,,,,
QB,Cam Newton%,,,,,
RB,LeSean McCoy%,,,,,
RB,Todd Gurley,,,,,
RB,Jonathan Stewart%,,,,,
RB,Devonta Freeman,,,,,
RB,Latavius Murray+,,,,,
RB,Chris Ivory+,,,,,
RB,Adrian Peterson,,,,,
RB,Doug Martin,,,,,
RB/RS,Darren Sproles,,,,,
RG,Logan Mankins+,,,,,
RG,Marshal Yanda,,,,,
RT,Joe Staley,,,,,
RT,Andrew Whitworth,,,,,
S,T.J. Ward+%,,,,,
S,Mike Adams+,,,,,
S,Kurt Coleman+%,,,,,
S,Harrison Smith+,,,,,
SS,Kam Chancellor%,,,,,
SS,Reshad Jones+,,,,,
SS,Eric Berry,,,,,
T,Jason Peters%,,,,,
T,Branden Albert+,,,,,
T,Kyle Long+,,,,,
T,Trent Williams%,,,,,
TE,Travis Kelce,,,,,
TE,Gary Barnidge,,,,,
TE,Tyler Eifert,,,,,
TE,Delanie Walker+,,,,,
TE,Greg Olsen%,,,,,
TE,Rob Gronkowski%,,,,,
WR,Amari Cooper+,,,,,
WR,Allen Robinson+,,,,,
WR,Calvin Johnson%,,,,,
WR,Demaryius Thomas+%,,,,,
WR,T.Y. Hilton+,,,,,
WR,Brandon Marshall%,,,,,
WR,A.J. Green,,,,,
WR,Matthew Slater%,,,,,
WR,Odell Beckham Jr.,,,,,
WR,DeAndre Hopkins,,,,,
WR,Larry Fitzgerald%,,,,,
WR,Jarvis Landry+,,,,,
WR,Antonio Brown%,,,,,
WR,Julio Jones,,,,,
WR/RS,Tyler Lockett,,,,,
C,Jeremy Zuttah+,,,,,
C,Maurkice Pouncey%,,,,,
C,Jason Kelce+,,,,,
C,Alex Mack%,,,,,
C,Rodney Hudson,,,,,
C,Travis Frederick,,,,,
CB,Richard Sherman,,,,,
CB,Xavier Rhodes,,,,,
CB,Stephon Gilmore+,,,,,
CB,Casey Hayward,,,,,
CB,Patrick Peterson,,,,,
CB,Jackrabbit Jenkins,,,,,
CB,Chris Harris Jr.,,,,,
CB,Marcus Peters%,,,,,
CB,Aqib Talib,,,,,
DE,Michael Bennett,,,,,
DE,Leonard Williams+,,,,,
DE,Everson Griffen,,,,,
DE,Carlos Dunlap+,,,,,
DE,Cameron Wake,,,,,
DE,Cliff Avril,,,,,
DE,Vic Beasley%,,,,,
DE,Jadeveon Clowney%,,,,,
DE,Khalil Mack%,,,,,
DT,Fletcher Cox,,,,,
DT,Jurrell Casey,,,,,
DT,Linval Joseph+,,,,,
DT,Kyle Williams+,,,,,
DT,Gerald McCoy,,,,,
DT,Ndamukong Suh%,,,,,
DT,Geno Atkins,,,,,
DT,Aaron Donald%,,,,,
FB,Mike Tolbert,,,,,
FB,Kyle Juszczyk,,,,,
FS,Reggie Nelson,,,,,
FS,Harrison Smith,,,,,
FS,Devin McCourty%,,,,,
G,Brandon Scherff%,,,,,
G,Josh Sitton+,,,,,
G,Trai Turner+,,,,,
G,Richie Incognito+,,,,,
G,T.J. Lang%,,,,,
G,Marshal Yanda%,,,,,
K,Matt Prater+,,,,,
K,Matt Bryant%,,,,,
K,Justin Tucker,,,,,
LB,Anthony Barr+,,,,,
LB,C.J. Mosley%,,,,,
LB,Zach Brown+,,,,,
LB,Ryan Kerrigan%,,,,,
LB,Dont'a Hightower%,,,,,
LB,Sean Lee+,,,,,
LB,Luke Kuechly%,,,,,
LG,Zack Martin,,,,,
LG,Kelechi Osemele,,,,,
LS,Morgan Cox,,,,,
LS,Jake McQuaide,,,,,
LT,Joe Thomas,,,,,
LT,Tyron Smith,,,,,
MLB,Ryan Shazier+,,,,,
MLB,Bobby Wagner,,,,,
OLB,Brian Orakpo,,,,,
OLB,Thomas Davis,,,,,
OLB,K.J. Wright+,,,,,
OLB,Lorenzo Alexander,,,,,
OLB,Von Miller,,,,,
P,Dustin Colquitt+,,,,,
P,Pat McAfee%,,,,,
P,Johnny Hekker,,,,,
QB,Kirk Cousins+,,,,,
QB,Philip Rivers+,,,,,
QB,Derek Carr%,,,,,
QB,Ben Roethlisberger%,,,,,
QB,Drew Brees+,,,,,
QB,Alex Smith+,,,,,
QB,Aaron Rodgers%,,,,,
QB,Dak Prescott,,,,,
QB,Andy Dalton+,,,,,
QB,Tom Brady%,,,,,
QB,Matt Ryan%,,,,,
RB,Melvin Gordon+,,,,,
RB,Darren Sproles+,,,,,
RB,Jordan Howard+,,,,,
RB,LeSean McCoy%,,,,,
RB,Devonta Freeman%,,,,,
RB,Jay Ajayi+,,,,,
RB,DeMarco Murray,,,,,
RB,Le'Veon Bell%,,,,,
RB,Ezekiel Elliott,,,,,
RB,David Johnson%,,,,,
RG,David DeCastro,,,,,
RS,Cordarrelle Patterson,,,,,
RT,Taylor Lewan,,,,,
RT,Trent Williams,,,,,
S,Ha Ha Clinton-Dix,,,,,
S,Eric Weddle+,,,,,
SS,Darian Stewart+,,,,,
SS,Eric Berry%,,,,,
SS,Landon Collins,,,,,
ST,D.J. Alexander+,,,,,
ST,Dwayne Harris,,,,,
ST,Matthew Slater%,,,,,
T,Jason Peters%,,,,,
T,Andrew Whitworth+,,,,,
T,David Bakhtiari+,,,,,
T,Donald Penn%,,,,,
TE,Jordan Reed%,,,,,
TE,Jimmy Graham+,,,,,
TE,Delanie Walker,,,,,
TE,Greg Olsen,,,,,
TE,Travis Kelce,,,,,
WR,Doug Baldwin+,,,,,
WR,Amari Cooper%,,,,,
WR,Jarvis Landry+,,,,,
