Year,Name,College,POS,Height (in),Weight (lbs),Hand Size (in),Arm Length (in),Wonderlic,40 Yard,Bench Press,Vert Leap (in),Broad Jump (in),Shuttle,3Cone,60Yd Shuttle
2020,Salvon Ahmed,Washington,RB,70.88,197,8.75,29.25,,4.62,,34.5,120,,,
2020,Cam Akers,Florida State,RB,70.38,217,9,30.63,,4.47,20,35.5,122,4.42,,
2020,Darius Anderson,Texas Christian,RB,70.5,208,9.63,30.5,,4.61,19,36,128,4.19,,
2020,Levante Bellamy,Western Michigan,RB,68.88,192,8.75,30.25,,4.5,16,39.5,125,,,
2020,Eno Benjamin,Arizona State,RB,68.88,207,8.63,31.25,,4.57,12,39,122,4.25,6.97,
2020,Lynn Bowden,Kentucky,RB,70.63,204,9.75,30.88,,,13,,,,,
2020,Raymond Calais,Louisiana-Lafayette,RB,67.88,188,9.25,30,,4.42,20,37.5,120,,,
2020,DeeJay Dallas,Miami (FL),RB,70.13,217,9.25,30.63,,4.58,,33.5,119,4.32,7.18,
2020,A.J. Dillon,Boston College,RB,72.38,247,9.63,31.63,,4.53,23,41,131,,7.19,
2020,J.K. Dobbins,Ohio State,RB,69.5,209,9.5,29.75,,,23,,,,,
2020,Rico Dowdle,South Carolina,RB,72,215,9.5,31.38,,4.54,,38,127,,,
2020,Clyde Edwards-Helaire,Louisiana State,RB,67.25,207,9.63,29,,4.6,15,39.5,123,,,
2020,Darrynton Evans,Appalachian State (NC),RB,70.13,203,9.25,31.63,,4.41,20,37,125,,,
2020,Antonio Gibson,Memphis,RB,72.38,228,8.63,31.13,,4.39,16,35,118,,,
2020,JaMycal Hasty,Baylor,RB,68,205,9.13,31.13,,4.55,15,39,123,4.03,,
2020,Brian Herrien,Georgia,RB,71.13,209,9,29.75,,4.62,18,38.5,126,4.4,7.12,
2020,Joshua Kelley,UCLA,RB,70.63,212,9.63,31.63,,4.49,23,31,121,4.28,6.95,
2020,Javon Leake,Maryland,RB,72.13,215,9.63,31.5,,4.65,,34,125,,,
2020,Benny LeMay,North Carolina Charlotte,RB,68.13,221,9,29.88,,4.75,24,28.5,112,,,
2020,Anthony McFarland,Maryland,RB,68.13,208,8.88,30.38,,4.44,,29.5,116,,,
2020,Zack Moss,Utah,RB,69.38,223,9.25,31.25,,4.65,19,33,,4.37,,
2020,Sewo Olonilua,Texas Christian,RB,75,240,10,32.13,,4.66,25,36,123,4.28,,
2020,La'Mical Perine,Florida,RB,70.75,216,10.25,31.63,,4.62,22,35,118,4.31,7.13,
2020,Malcolm Perry,Navy,RB,69.5,186,8.5,29.63,,4.63,10,36,122,4.31,7.12,
2020,Scottie Phillips,Mississippi,RB,68,211,8.5,29.38,,4.56,29,30,114,4.53,7.4,
2020,James Robinson,Illinois State,RB,69,219,8.75,29.63,,4.64,24,40,125,4.19,7.03,
2020,D'Andre Swift,Georgia,RB,68.25,212,9,29.88,,4.48,,35.5,121,,,
2020,J.J. Taylor,Arizona,RB,66,185,8.5,28.75,,4.61,19,34.5,118,4.15,7,
2020,Jonathan Taylor,Wisconsin,RB,70.25,226,9.5,31.13,,4.39,17,36,123,4.24,7.01,
2020,Patrick Taylor,Memphis,RB,75,216,9.38,32.25,,4.57,15,34,123,4.34,,
2020,Ke'Shawn Vaughn,Vanderbilt,RB,69.63,214,8.88,30.88,,4.51,,32,117,,,
2020,Michael Warren,Cincinnati,RB,69.13,226,9.13,29.5,,,16,,,,,
2019,Bruce Anderson,North Dakota State,RB,71.25,210,9,31.5,,4.58,22,31,119,4.47,7.23,
