player,player_id,position,team_name,player_game_count,block_percent,declined_penalties,franchise_id,grades_offense,grades_pass_block,grades_run_block,hits_allowed,hurries_allowed,non_spike_pass_block,non_spike_pass_block_percentage,pass_block_percent,pbe,penalties,pressures_allowed,sacks_allowed,snap_counts_block,snap_counts_ce,snap_counts_lg,snap_counts_lt,snap_counts_offense,snap_counts_pass_block,snap_counts_pass_play,snap_counts_rg,snap_counts_rt,snap_counts_run_block,snap_counts_te
Darnell Wright,98480,T,CHI,10,100.0,0,6,63.1,60.9,66.2,1,25,365,100.0,100.0,95.1,6,31,5,650,0,0,0,650,378,378,0,650,272,0
Erik McCoy,37347,C,NO,9,100.0,1,20,77.5,50.7,89.7,2,11,369,100.0,100.0,97.2,5,17,4,641,641,0,0,641,384,384,0,0,257,0
Jason Kelce,6343,C,PHI,9,100.0,0,24,81.9,69.8,83.7,1,4,354,100.0,100.0,99.0,1,6,1,640,640,0,0,640,371,371,0,0,269,0
Jordan Mailata,66916,T,PHI,9,99.8,1,24,83.1,80.4,81.4,1,20,353,99.7,99.7,96.2,3,24,3,639,0,0,632,640,370,371,0,0,269,8
Cody Whitehair,10690,G,CHI,10,100.0,0,6,44.7,57.1,41.8,4,8,353,100.0,100.0,97.5,2,15,3,628,87,541,0,628,366,366,0,0,262,0
Ikem Ekwonu,98286,T,CAR,9,100.0,2,5,64.1,61.6,75.5,4,12,402,100.0,100.0,96.8,9,21,5,625,0,0,625,625,430,430,0,0,195,0
Bradley Bozeman,27934,C,CAR,9,100.0,0,5,59.2,49.9,64.3,2,11,402,100.0,100.0,97.4,5,17,4,625,625,0,0,625,430,430,0,0,195,0
Taylor Moton,11819,T,CAR,9,100.0,0,5,64.0,69.1,56.2,0,31,402,100.0,100.0,95.9,3,32,1,625,0,0,0,625,430,430,0,625,195,0
Quenton Nelson,12954,G,IND,9,100.0,0,14,62.4,75.2,56.3,3,8,351,100.0,100.0,98.1,5,12,1,620,0,620,0,620,376,376,0,0,244,0
Drew Dalman,52270,C,ATL,9,100.0,2,2,82.4,53.6,90.6,3,12,345,100.0,100.0,97.2,4,17,2,619,619,0,0,619,364,364,0,0,255,0
Chris Lindstrom,46692,G,ATL,9,100.0,2,2,81.3,73.0,84.5,2,6,345,100.0,100.0,98.0,6,11,3,619,0,0,1,619,364,364,618,0,255,0
Jake Matthews,8641,T,ATL,9,100.0,0,2,75.9,77.0,70.2,1,10,345,100.0,100.0,97.2,3,15,4,619,0,0,605,619,364,364,0,0,255,14
Matthew Bergeron,99658,G,ATL,9,100.0,0,2,55.4,60.5,54.2,6,9,345,100.0,100.0,97.2,3,17,2,619,0,619,0,619,364,364,0,0,255,0
Andrew Wylie,12333,T,WAS,9,100.0,1,32,69.4,65.9,71.2,4,18,421,100.0,100.0,96.2,4,27,5,616,0,0,0,616,447,447,0,613,169,3
Landon Dickerson,41712,G,PHI,9,100.0,2,24,69.7,70.7,70.8,5,16,343,100.0,100.0,96.4,6,23,2,615,0,615,0,615,360,360,0,0,255,0
Sam Cosmi,60114,G,WAS,9,100.0,0,32,70.8,68.4,67.5,4,15,419,100.0,100.0,97.5,2,20,1,612,0,0,0,612,444,444,612,0,168,0
John Simpson,41715,G,BLT,9,100.0,0,3,56.8,61.7,55.7,4,8,318,100.0,100.0,98.1,4,12,0,610,0,610,0,610,343,343,0,0,267,0
Trey Smith,62960,G,KC,9,100.0,1,16,69.5,66.0,72.0,3,13,380,100.0,100.0,97.9,6,16,0,605,0,0,0,605,406,406,604,0,199,0
Joe Thuney,10712,G,KC,9,100.0,0,16,73.0,81.3,66.9,4,13,380,100.0,100.0,97.2,2,19,2,604,0,597,7,604,406,406,0,0,198,0
Wyatt Teller,46131,G,CLV,8,100.0,1,8,70.8,72.1,69.8,2,7,310,100.0,100.0,97.6,3,12,3,603,0,1,0,603,334,334,602,0,269,0
Will Fries,41530,G,IND,9,100.0,1,14,61.8,68.6,60.9,2,13,342,100.0,100.0,97.5,7,16,1,602,0,0,0,602,367,367,602,0,235,0
Brian O'Neill,46854,T,MIN,9,100.0,0,18,74.4,73.5,73.9,2,17,381,100.0,100.0,97.0,6,21,2,599,0,0,0,599,408,408,0,599,191,0
Ed Ingram,59819,G,MIN,9,100.0,1,18,59.9,59.8,57.8,10,15,381,100.0,100.0,95.7,3,29,4,599,0,0,0,599,408,408,599,0,191,0
Steve Avila,77319,G,LA,9,100.0,0,26,59.4,59.8,58.0,4,17,350,100.0,100.0,96.4,2,23,2,599,0,599,0,599,376,376,0,0,223,0
Creed Humphrey,59996,C,KC,9,100.0,0,16,72.2,73.9,70.1,1,6,380,100.0,100.0,98.3,1,10,3,598,597,0,0,598,406,406,0,0,192,0
Kevin Zeitler,7032,G,BLT,9,100.0,0,3,68.0,76.6,61.8,1,10,314,100.0,100.0,97.6,3,13,2,594,0,0,0,594,339,339,594,0,255,0
Coleman Shelton,39316,C,LA,9,100.0,1,26,60.4,43.6,67.6,6,13,347,100.0,100.0,96.7,3,21,2,594,594,0,0,594,373,373,0,0,221,0
Donovan Smith,9467,T,KC,9,100.0,3,16,57.9,66.1,41.8,6,22,378,100.0,100.0,96.0,7,29,1,594,0,0,593,594,404,404,0,0,190,0
O'Cyrus Torrence,102821,G,BUF,9,100.0,1,4,58.9,57.7,61.1,1,17,363,100.0,100.0,97.2,4,19,1,592,0,0,0,592,388,388,592,0,204,0
Jawaan Taylor,41665,T,KC,9,100.0,1,16,53.2,65.3,47.3,4,16,372,100.0,100.0,96.8,11,22,2,590,0,0,0,590,398,398,0,586,192,3
Spencer Brown,42296,T,BUF,9,100.0,1,4,70.2,68.9,70.8,3,14,362,100.0,100.0,97.1,4,19,2,589,0,0,0,589,387,387,0,586,202,3
Paris Johnson Jr.,129749,T,ARZ,9,100.0,4,1,50.1,56.7,45.1,8,14,331,100.0,100.0,95.8,8,25,3,584,0,0,0,584,359,359,0,584,225,0
Lane Johnson,7786,T,PHI,9,100.0,0,24,79.7,80.1,73.6,2,13,312,100.0,100.0,97.3,1,16,1,579,0,0,6,579,328,328,0,573,251,0
Kaleb McGary,46912,T,ATL,9,100.0,1,2,69.0,65.6,69.7,2,7,324,100.0,100.0,97.4,2,13,4,579,0,0,0,579,342,342,1,578,237,0
Austin Jackson,60816,T,MIA,9,100.0,1,17,60.9,72.0,48.9,2,8,333,100.0,100.0,98.2,4,11,1,578,0,0,0,578,351,351,0,577,227,1
Hjalte Froholdt,44959,C,ARZ,9,100.0,0,1,56.2,53.7,60.3,4,11,325,100.0,100.0,97.4,5,16,1,577,577,0,0,577,353,353,0,0,224,0
Connor McGovern,41714,G,BUF,9,100.0,1,4,58.5,72.2,49.2,0,12,363,100.0,100.0,98.1,3,13,1,575,0,575,0,575,388,388,0,0,187,0
Penei Sewell,81788,T,DET,8,100.0,1,11,82.4,82.0,80.4,1,4,311,100.0,100.0,99.2,6,5,0,572,0,0,136,572,323,323,0,436,249,0
David Andrews,9948,C,NE,9,100.0,1,19,69.1,51.1,76.4,2,9,350,100.0,100.0,97.9,1,13,2,571,571,0,0,571,366,366,0,0,205,0
Mitch Morse,9482,C,BUF,9,100.0,0,4,67.5,70.7,65.1,2,14,361,100.0,100.0,97.5,1,17,1,570,570,0,0,570,386,386,0,0,184,0
Dion Dawkins,11818,T,BUF,9,100.0,1,4,74.2,74.6,68.5,4,15,362,100.0,100.0,97.1,3,20,1,570,0,0,569,570,387,387,0,0,183,1
Jedrick Wills Jr.,58467,T,CLV,8,100.0,0,8,54.0,60.1,54.5,5,21,297,100.0,100.0,94.6,6,29,3,569,0,0,565,569,319,319,0,0,250,4
Will Hernandez,46180,G,ARZ,9,100.0,0,1,66.5,65.4,64.4,5,10,320,100.0,100.0,97.0,1,17,2,569,0,0,0,569,348,348,569,0,221,0
Charles Leno Jr.,8880,T,WAS,8,100.0,1,32,73.8,79.0,62.9,2,16,392,100.0,100.0,97.2,6,20,2,565,0,0,565,565,417,417,0,0,148,0
Lucas Patrick,11435,C,CHI,10,100.0,1,6,48.9,47.9,56.0,1,13,322,100.0,100.0,97.8,7,14,0,563,563,0,0,563,334,334,0,0,229,0
Ethan Pocic,11813,C,CLV,8,100.0,1,8,75.5,74.7,72.8,2,6,282,100.0,100.0,98.2,3,9,1,558,558,0,0,558,304,304,0,0,254,0
