player,player_id,player_game_count,block_percent,declined_penalties,franchise_id,grades_offense,grades_pass_block,grades_run_block,hits_allowed,hurries_allowed,non_spike_pass_block,non_spike_pass_block_percentage,pass_block_percent,pbe,penalties,pressures_allowed,sacks_allowed,snap_counts_block,snap_counts_ce,snap_counts_lg,snap_counts_lt,snap_counts_offense,snap_counts_pass_block,snap_counts_pass_play,snap_counts_rg,snap_counts_rt,snap_counts_run_block,snap_counts_te
Aaron Taylor,11558,1,100.0,0,12,62.4,85.5,55.5,0,0,34,100.0,100.0,100.0,0,0,0,70,0,70,0,70,36,36,0,0,34,0
Adam Timmerman,144,1,100.0,0,12,44.6,27.0,50.0,0,2,34,100.0,100.0,94.1,0,3,1,70,0,0,0,70,36,36,70,0,34,0
Todd Rucci,11554,1,100.0,0,19,49.5,49.3,46.4,0,4,54,100.0,100.0,94.4,0,5,1,67,0,0,0,67,55,55,67,0,12,0
William Roberts,11555,1,100.0,0,19,45.6,33.4,51.9,0,4,39,100.0,100.0,94.9,0,4,0,48,0,48,0,48,39,39,0,0,9,0
Bob Kratch,11556,1,100.0,1,19,54.9,83.6,45.8,0,0,15,100.0,100.0,100.0,1,0,0,19,0,19,0,19,16,16,0,0,3,0
Dan Neil,11622,1,100.0,0,10,76.8,60.0,76.1,0,2,29,100.0,100.0,96.6,1,2,0,67,0,0,0,67,30,30,67,0,37,0
Mark Schlereth,11619,1,100.0,0,10,67.0,80.8,61.5,1,0,29,100.0,100.0,98.3,0,1,0,67,0,67,0,67,30,30,0,0,37,0
Gene Williams,11620,1,100.0,0,2,64.4,55.0,66.1,1,3,40,100.0,100.0,95.0,0,4,0,62,0,0,0,62,42,42,62,0,20,0
Calvin Collins,11623,1,100.0,0,2,65.3,74.1,59.4,1,0,40,100.0,100.0,98.7,0,1,0,62,0,62,0,62,42,42,0,0,20,0
Tom Nutten,143,1,100.0,0,26,72.7,77.9,67.3,0,1,47,100.0,100.0,98.9,0,1,0,73,0,73,0,73,51,51,0,0,22,0
Adam Timmerman,144,1,100.0,0,26,67.3,69.5,63.4,0,0,47,100.0,100.0,97.9,0,1,1,73,0,0,0,73,51,51,73,0,22,0
Mike Compton,43,1,100.0,0,19,69.9,67.8,68.3,0,0,28,100.0,100.0,100.0,1,0,0,56,13,43,0,56,32,32,0,0,24,0
Joe Andruzzi,296,1,100.0,0,19,76.6,74.5,73.1,0,0,28,100.0,100.0,96.4,0,1,1,56,0,0,0,56,32,32,56,0,24,0
Cosey Coleman,620,1,100.0,0,30,50.5,25.1,56.5,2,1,35,100.0,100.0,95.7,0,3,0,82,0,0,0,82,37,37,82,0,45,0
Kerry Jenkins,136200,1,100.0,0,30,43.8,58.0,42.8,1,0,35,100.0,100.0,98.6,0,1,0,82,0,82,0,82,37,37,0,0,45,0
Frank Middleton,259,1,100.0,0,23,63.8,87.5,43.4,0,0,51,100.0,100.0,100.0,0,0,0,65,0,65,0,65,56,56,0,0,9,0
Mo Collins,136195,1,100.0,0,23,59.6,65.9,52.9,0,3,51,100.0,100.0,97.1,0,3,0,65,0,0,0,65,56,56,65,0,9,0
Russ Hochstein,890,1,100.0,0,19,50.0,45.0,51.5,2,3,49,100.0,100.0,94.9,0,5,0,89,0,89,0,89,53,53,0,0,36,0
Joe Andruzzi,296,1,100.0,0,19,92.3,67.1,92.5,0,2,49,100.0,100.0,98.0,1,2,0,89,0,0,0,89,53,53,89,0,36,0
Jeno James,689,1,100.0,0,5,59.5,66.3,54.8,0,1,37,100.0,100.0,95.9,1,2,1,59,0,59,0,59,41,41,0,0,18,0
Kevin Donnalley,11618,1,100.0,0,5,61.7,77.1,61.8,0,1,37,100.0,100.0,98.6,1,1,0,59,0,0,0,59,41,41,59,0,18,0
Artis Hicks,1254,1,100.0,0,24,54.8,70.3,45.6,0,3,55,100.0,100.0,95.5,0,4,1,73,0,73,0,73,56,56,0,0,17,0
Jermane Mayberry,166,1,100.0,0,24,70.8,73.8,66.1,1,2,55,100.0,100.0,97.3,0,3,0,73,0,0,0,73,56,56,73,0,17,0
Stephen Neal,972,1,100.0,0,19,65.2,70.7,61.1,0,2,35,100.0,100.0,97.1,0,2,0,63,0,0,0,63,35,35,63,0,28,0
Joe Andruzzi,296,1,100.0,0,19,66.9,88.1,59.2,0,0,35,100.0,100.0,100.0,0,0,0,63,0,63,0,63,35,35,0,0,28,0
Russ Hochstein,890,1,100.0,0,19,73.0,,69.2,0,0,0,,,,0,0,0,8,0,0,0,8,0,0,0,0,8,5
