Player,School,College,Ht,Wt,40yd,Vertical,Bench,Broad Jump,3Cone,Shuttle
Terrance Beadles,Ark-Pine Bluff,,6-3,312.0,5.19,,29.0,,,
Brad Bedell,Colorado,,6-4,302.0,5.07,31.5,17.0,103.0,7.76,4.58
Cooper Carlisle,Florida,,6-5,297.0,5.16,31.0,28.0,100.0,7.82,4.48
Travis Claridge,USC,,6-5,303.0,5.15,31.5,29.0,100.0,7.77,4.86
Cosey Coleman,Tennessee,College Stats,6-4,322.0,5.4,28.0,,101.0,8.15,4.97
Adam Davis,Oklahoma State,,6-4,309.0,5.66,26.0,,92.0,8.51,5.0
Semisi Heimuli,Texas A&M,,6-1,312.0,5.4,29.0,20.0,94.0,7.94,4.63
Steve Herndon,Georgia,,6-4,297.0,5.23,,,,,
Al Jackson,LSU,,6-3,304.0,5.2,,19.0,,,
Jeno James,Auburn,,6-3,320.0,5.62,25.5,24.0,94.0,8.51,5.22
Ryan Johanningmeier,Colorado,,6-6,310.0,5.25,29.0,,107.0,7.9,4.66
Matt Johnson,BYU,,6-4,345.0,5.56,28.0,35.0,99.0,8.07,4.99
Leander Jordan,Indiana (PA),,6-4,330.0,5.46,31.0,25.0,104.0,7.91,4.76
Andrew Kline,San Diego State,,6-2,305.0,5.43,28.0,26.0,103.0,7.54,4.6
Noel LaMontagne,Virginia,,6-4,299.0,5.09,,21.0,,,
Richard Mercier,Miami (FL),,6-3,295.0,5.39,26.0,18.0,97.0,7.84,4.78
Mookie Moore,Troy,,6-3,320.0,5.45,24.5,34.0,94.0,8.37,5.06
Roger Roesler,Texas,,6-5,314.0,5.31,29.5,25.0,101.0,8.31,4.76
Blaine Saipaia,Colorado State,,6-3,321.0,5.35,,,,,
Manuia Savea,Arizona,,6-2,308.0,5.34,25.0,24.0,92.0,,
Mark Tauscher,Wisconsin,,6-3,318.0,5.37,27.0,22.0,90.0,7.91,4.84
Jason Thomas,South Carolina,,6-3,300.0,5.22,29.5,23.0,100.0,7.99,
Ryan Tujague,Washington State,,6-5,297.0,5.16,27.0,21.0,96.0,8.18,4.95
Andy Vincent,Texas A&M,,6-4,306.0,5.2,28.5,14.0,108.0,7.54,4.42
Tom Ashworth,Colorado,College Stats,6-6,293.0,5.11,33.5,20.0,109.0,7.4,4.3
David Bobo,TCU,,6-4,290.0,5.28,31.0,19.0,106.0,7.81,4.89
