player,player_id,player_game_count,block_percent,declined_penalties,franchise_id,grades_offense,grades_pass_block,grades_run_block,hits_allowed,hurries_allowed,non_spike_pass_block,non_spike_pass_block_percentage,pass_block_percent,pbe,penalties,pressures_allowed,sacks_allowed,snap_counts_block,snap_counts_ce,snap_counts_lg,snap_counts_lt,snap_counts_offense,snap_counts_pass_block,snap_counts_pass_play,snap_counts_rg,snap_counts_rt,snap_counts_run_block,snap_counts_te,YOP,Match
Aaron Taylor,11558,1,0.11198744573756592,-0.568670230969411,-0.4885993748666675,-0.185788467622706,1.2796172255863407,-0.7641400218963418,-0.9659050129708118,-1.2369330024329541,-1.2108252473530383,0.09357032427038955,0.09313644704662327,1.3653865285648445,-1.05119208538261,-1.2861219706010973,-0.9531581192278035,-1.197044220909769,-0.20828456930427738,-0.5076367945951696,-0.15327599320930452,-1.1975338349016078,-1.2110324944972677,-1.2119125305321374,-0.6938436082055978,-0.19343077026910319,-1.1336951093640317,-0.22803383178470554,1996,0
Adam Timmerman,144,1,0.11198744573756592,-0.568670230969411,-0.4885993748666675,-1.66312603115647,-2.3106876070390494,-1.2567147183893619,-0.9659050129708118,-1.0161264381015205,-1.2108252473530383,0.09357032427038955,0.09313644704662327,-1.3294447702020857,-1.05119208538261,-1.0416966293586256,-0.43278657067608917,-1.197044220909769,-0.20828456930427738,-0.685117693813391,-0.15327599320930452,-1.1975338349016078,-1.2110324944972677,-1.2119125305321374,-0.5147812673530019,-0.19343077026910319,-1.1336951093640317,-0.22803383178470554,1996,0
Todd Rucci,11554,1,0.11198744573756592,-0.568670230969411,0.2691013162361014,-1.2564432187230181,-0.9420756793886873,-1.5791272470029754,-0.9659050129708118,-0.7953198737700871,-1.1272529278831933,0.09357032427038955,0.09313644704662327,-1.192419449925796,-1.05119208538261,-0.8787464018636444,-0.43278657067608917,-1.2042487011271006,-0.20828456930427738,-0.685117693813391,-0.15327599320930452,-1.2047391078949476,-1.1361337380165546,-1.1369982011154363,-0.522455367675256,-0.19343077026910319,-1.2641080139751046,-0.22803383178470554,1996,0
William Roberts,11555,1,0.11198744573756592,-0.568670230969411,0.2691013162361014,-1.5801295388231125,-1.9179021210766138,-1.0865525505099551,-0.9659050129708118,-0.7953198737700871,-1.1899321674855772,0.09357032427038955,0.09313644704662327,-0.9640439161319887,-1.05119208538261,-0.960221515611135,-0.9531581192278035,-1.2498770758368676,-0.20828456930427738,-0.5634165057780393,-0.15327599320930452,-1.250372503519434,-1.1992063750529447,-1.2000839522031845,-0.6938436082055978,-0.19343077026910319,-1.2818915918766145,-0.22803383178470554,1996,0
Bob Kratch,11556,1,0.11198744573756592,0.9097396577118584,0.2691013162361014,-0.8082621601228875,1.1630090344412423,-1.6328626684385776,-0.9659050129708118,-1.2369330024329541,-1.290218950849391,0.09357032427038955,0.09313644704662327,1.3653865285648445,-0.6798497726772896,-1.2861219706010973,-0.9531581192278035,-1.3195203846044066,-0.20828456930427738,-0.636944306882731,-0.15327599320930452,-1.3200234757883864,-1.2898732907927553,-1.2907697193918228,-0.6938436082055978,-0.19343077026910319,-1.3174587476796344,-0.22803383178470554,1996,0
Dan Neil,11622,1,0.11198744573756592,-0.568670230969411,-0.7050852866103158,1.0093610219776425,-0.28538744504523966,1.0807761140593335,-0.9659050129708118,-1.0161264381015205,-1.2317183272204997,0.09357032427038955,0.09313644704662327,-0.1875671012330486,-0.6798497726772896,-1.1231717431061161,-0.9531581192278035,-1.2042487011271006,-0.20828456930427738,-0.685117693813391,-0.15327599320930452,-1.2047391078949476,-1.234684733385914,-1.235569687190043,-0.522455367675256,-0.19343077026910319,-1.1159115314625216,-0.22803383178470554,1998,0
Mark Schlereth,11619,1,0.11198744573756592,-0.568670230969411,-0.7050852866103158,0.1959953971107388,0.9911653843326768,-0.22678580754031968,-0.6146668264359711,-1.2369330024329541,-1.2317183272204997,0.09357032427038955,0.09313644704662327,0.588909713665898,-1.05119208538261,-1.2046468568536068,-0.9531581192278035,-1.2042487011271006,-0.20828456930427738,-0.5152431188473792,-0.15327599320930452,-1.2047391078949476,-1.234684733385914,-1.235569687190043,-0.6938436082055978,-0.19343077026910319,-1.1159115314625216,-0.22803383178470554,1998,0
Gene Williams,11620,1,0.11198744573756592,-0.568670230969411,-1.5710289335849088,-0.019795482955990342,-0.5922511059533927,0.18518575679929672,-0.6146668264359711,-0.9057231559358038,-1.185753551512085,0.09357032427038955,0.09313644704662327,-0.9183688093732297,-1.05119208538261,-0.960221515611135,-0.9531581192278035,-1.2162561681559867,-0.20828456930427738,-0.685117693813391,-0.15327599320930452,-1.216747896217181,-1.1873802556086215,-1.1882553738742316,-0.5352455348790128,-0.19343077026910319,-1.216685139571078,-0.22803383178470554,1998,0
Calvin Collins,11623,1,0.11198744573756592,-0.568670230969411,-1.5710289335849088,0.05490136014403074,0.5799680787157515,-0.4148597825649275,-0.6146668264359711,-1.2369330024329541,-1.185753551512085,0.09357032427038955,0.09313644704662327,0.7716101407009465,-1.05119208538261,-1.2046468568536068,-0.9531581192278035,-1.2162561681559867,-0.20828456930427738,-0.527920325934395,-0.15327599320930452,-1.216747896217181,-1.1873802556086215,-1.1882553738742316,-0.6938436082055978,-0.19343077026910319,-1.216685139571078,-0.22803383178470554,1998,0
Tom Nutten,143,1,0.11198744573756592,-0.568670230969411,1.0268020073388704,0.669075403410877,0.8131844610059484,0.2926565996705014,-0.9659050129708118,-1.1265297202672373,-1.1565032396976391,0.09357032427038955,0.09313644704662327,0.8629603542184707,-1.05119208538261,-1.2046468568536068,-0.9531581192278035,-1.1898397406924373,-0.20828456930427738,-0.5000304703429601,-0.15327599320930452,-1.1903285619082677,-1.151901897275652,-1.1527696388873734,-0.6938436082055978,-0.19343077026910319,-1.2048294209700714,-0.22803383178470554,2001,0
