Year,Name,College,POS,Height (in),Weight (lbs),Hand Size (in),Arm Length (in),Wonderlic,40 Yard,Bench Press,Vert Leap (in),Broad Jump (in),Shuttle,3Cone,60Yd Shuttle ▾
2022,DEriq King,Miami (FL),WR,68.75,196,9.25,28.88,,,,,,,,
2022,John Metchie,Alabama,WR,71.25,187,9.25,30.63,,,,,,,,
2022,Jameson Williams,Alabama,WR,73.5,179,9.25,32.13,,,,,,,,
2022,Romeo Doubs,Nevada,WR,73.88,201,10,32.25,,,,,,,,
2022,Drake London,Southern California,WR,75.88,219,9.38,33,,,,,,,,
2022,Justyn Ross,Clemson,WR,75.63,205,9.63,32.13,,,11,,,,,
2022,Josh Johnson,Tulsa (OK),WR,70.5,179,8.63,32.25,,4.62,14,,,,,
2022,Reggie Roberson,Southern Methodist (TX),WR,71,192,9.5,32.63,,,,29,114,,,
2022,Slade Bolden,Alabama,WR,70.63,193,9.75,29.38,,4.66,,32,116,,,
2022,Charleston Rambo,Miami (FL),WR,72.63,177,9.75,32,,4.57,,33.5,118,,,
2022,WanDale Robinson,Kentucky,WR,68,178,9,27.63,,4.44,,34.5,118,,,
2022,Velus Jones,Tennessee,WR,71.75,204,9.75,30.88,,4.31,,33,121,,,
2022,Braylon Sanders,Mississippi,WR,72.13,194,10,31.5,,4.48,,34.5,121,,,
2022,Dontario Drummond,Mississippi,WR,72.88,215,9.25,31.5,,4.65,,34,122,,,
2022,Chris Olave,Ohio State,WR,72.38,187,9.5,31.13,,4.39,,32,124,,,
2022,Kyle Philips,UCLA,WR,71.25,189,8.63,29.63,,4.58,,33.5,124,,,
2022,George Pickens,Georgia,WR,75.25,195,8.75,32.38,,4.47,,33,125,,,
2022,Danny Gray,Southern Methodist (TX),WR,71.88,186,9.63,31.88,,4.33,,34,126,,,
2022,Tyquan Thornton,Baylor,WR,74.38,181,8.25,33.25,,4.28,,36.5,130,,,
2022,Devon Williams,Oregon,WR,77,210,9.88,34.13,,4.65,,33,133,,,
