player,player_id,position,team_name,player_game_count,avg_depth_of_target,avoided_tackles,caught_percent,contested_catch_rate,contested_receptions,contested_targets,declined_penalties,drop_rate,drops,first_downs,franchise_id,fumbles,grades_hands_drop,grades_hands_fumble,grades_offense,grades_pass_block,grades_pass_route,inline_rate,inline_snaps,interceptions,longest,pass_block_rate,pass_blocks,pass_plays,penalties,receptions,route_rate,routes,slot_rate,slot_snaps,targeted_qb_rating,targets,touchdowns,wide_rate,wide_snaps,yards,yards_after_catch,yards_after_catch_per_reception,yards_per_reception,yprr
Jonathan Adams Jr.,61148,WR,ARK STATE,10,15.3,7,64.5,62.2,23,37,0,12.4,11,58,113,0,53.7,75.8,85.8,,85.8,0.0,0,1,52,0.0,0,437,2,78,93.8,410,8.5,37,123.5,121,12,91.3,399,1106,256,3.3,14.2,2.7
Jaelon Darden,61522,WR,N TEXAS,9,12.9,23,66.1,0.0,0,9,0,8.6,7,46,251,0,67.3,78.1,89.8,,89.9,0.0,0,4,75,0.0,0,283,1,74,97.5,276,85.9,243,126.1,112,19,14.1,40,1190,571,7.7,16.1,4.31
Calvin Austin III,61418,WR,MEMPHIS,10,13.2,13,54.1,34.6,9,26,0,11.8,8,42,218,1,57.5,67.4,75.8,,76.0,0.0,0,2,65,0.0,0,426,1,60,92.0,392,22.3,95,108.1,111,10,77.7,331,1025,354,5.9,17.1,2.61
DeVonta Smith,61100,WR,ALABAMA,10,11.3,8,78.3,52.6,10,19,0,2.4,2,61,103,0,90.4,80.3,94.2,,95.0,0.0,0,2,66,0.0,0,333,1,83,94.6,315,37.2,124,150.5,106,15,62.8,209,1327,693,8.3,16.0,4.21
Jalen Tolbert,61637,WR,S ALABAMA,11,17.1,7,61.0,43.8,14,32,0,7.2,5,43,288,1,71.5,50.8,79.2,,79.2,0.0,0,1,73,0.0,0,444,3,64,94.8,421,1.6,7,117.4,105,8,98.4,437,1085,280,4.4,17.0,2.58
Marlon Williams,55411,WR,UCF,8,10.8,22,68.3,21.4,3,14,0,5.3,4,46,323,0,79.9,77.2,87.4,,88.6,0.0,0,2,85,0.0,0,355,2,71,93.5,332,94.4,335,124.6,104,10,5.4,19,1037,444,6.3,14.6,3.12
Zay Flowers,97268,WR,BOSTON COL,11,14.4,9,53.4,33.3,4,12,0,11.3,7,30,121,1,59.3,53.3,72.7,,74.6,0.5,2,3,77,0.0,0,440,4,55,94.3,415,48.0,211,99.7,103,9,51.6,227,892,368,6.7,16.2,2.15
Taj Harris,77970,WR,SYRACUSE,10,13.0,22,57.4,17.6,3,17,1,9.4,6,30,304,1,65.1,50.6,70.9,,71.7,0.0,0,6,79,0.0,0,367,3,58,95.4,350,12.8,47,71.9,101,5,87.2,320,733,362,6.2,12.6,2.09
Elijah Moore,84302,WR,OLE MISS,8,10.9,18,85.1,73.3,11,15,0,2.3,2,55,226,0,90.9,81.8,91.2,67.9,92.4,0.3,1,4,91,0.3,1,337,3,86,92.0,310,79.8,269,125.8,101,8,15.7,53,1193,505,5.9,13.9,3.85
Billy Kemp IV,77037,WR,VIRGINIA,10,7.5,16,69.1,30.0,3,10,1,6.9,5,34,335,1,72.8,83.6,73.9,65.1,75.8,0.8,3,6,29,0.3,1,364,3,67,94.5,344,24.2,88,65.0,97,1,66.5,242,644,313,4.7,9.6,1.87
Seth Williams,84137,WR,AUBURN,10,13.5,12,46.7,31.0,9,29,0,16.0,8,31,115,1,43.5,41.4,69.8,,69.6,0.0,0,3,58,0.0,0,351,2,42,95.4,335,27.9,98,73.7,90,4,72.1,253,687,232,5.5,16.4,2.05
Hunter Long,60859,TE,BOSTON COL,11,10.1,3,64.0,45.8,11,24,1,5.0,3,35,121,0,79.0,74.4,83.3,54.9,83.2,57.6,272,3,36,11.0,52,472,2,57,83.3,393,32.8,155,92.2,89,5,8.9,42,685,176,3.1,12.0,1.74
Kaylon Geiger,102929,WR,TROY,11,8.3,14,72.7,0.0,0,3,1,7.2,5,32,318,2,72.4,40.7,66.2,,67.7,0.3,1,7,51,0.0,0,378,2,64,95.8,362,95.5,361,76.5,88,3,3.4,13,751,382,6.0,11.7,2.07
Jordan Addison,123000,WR,PITTSBURGH,10,9.0,12,69.0,53.8,7,13,0,14.3,10,31,268,0,47.6,79.7,69.1,,70.5,0.0,0,2,75,0.0,0,356,2,60,93.0,331,82.6,294,97.0,87,4,17.4,62,662,318,5.3,11.0,2.0
Joshua Cephus,98095,WR,UTSA,11,10.5,12,63.5,50.0,8,16,0,1.8,1,33,331,0,89.0,74.5,73.3,,74.9,0.0,0,1,35,0.0,0,346,4,54,94.8,328,16.8,58,91.1,85,4,83.2,288,516,171,3.2,9.6,1.57
Tylan Wallace,61577,WR,OKLA STATE,8,15.5,8,62.4,52.4,11,21,1,7.0,4,40,262,0,72.4,74.5,84.9,,85.3,0.0,0,5,55,0.0,0,270,3,53,94.8,256,13.3,36,96.1,85,6,86.7,234,877,277,5.2,16.5,3.43
