player,player_id,position,team_name,player_game_count,avg_depth_of_target,avoided_tackles,caught_percent,contested_catch_rate,contested_receptions,contested_targets,declined_penalties,drop_rate,drops,first_downs,franchise_id,fumbles,grades_hands_drop,grades_hands_fumble,grades_offense,grades_pass_block,grades_pass_route,inline_rate,inline_snaps,interceptions,longest,pass_block_rate,pass_blocks,pass_plays,penalties,receptions,route_rate,routes,slot_rate,slot_snaps,targeted_qb_rating,targets,touchdowns,wide_rate,wide_snaps,yards,yards_after_catch,yards_after_catch_per_reception,yards_per_reception,yprr
DeAndre Hopkins,7808,WR,HST,15,14.0,4,58.5,31.3,15,48,1,5.0,5,69,13,1,80.4,57.1,90.2,,90.3,0.0,0,6,72,0.0,0,631,6,96,91.3,576,15.7,99,97.1,164,13,84.0,530,1378,346,3.6,14.4,2.39
Jarvis Landry,8698,WR,MIA,16,6.3,17,71.8,48.3,14,29,2,5.9,7,59,17,3,76.6,29.0,79.5,62.2,80.2,0.6,4,4,49,0.2,1,629,7,112,95.4,600,65.2,410,96.8,156,9,33.5,211,987,523,4.7,8.8,1.65
Antonio Brown,5718,WR,PIT,14,14.4,12,65.2,51.2,22,43,0,4.7,5,69,25,3,77.4,28.2,91.2,,91.3,0.2,1,6,57,0.0,0,575,6,101,92.9,534,13.4,77,100.8,155,9,86.4,497,1533,475,4.7,15.2,2.87
Larry Fitzgerald,1724,WR,ARZ,16,8.5,9,71.2,45.0,18,40,1,3.5,4,66,1,1,90.4,60.3,80.0,74.5,78.8,1.3,9,1,37,0.4,3,702,2,109,92.6,650,61.8,434,103.3,153,6,36.6,257,1156,418,3.8,10.6,1.78
Keenan Allen,7857,WR,LAC,16,9.9,13,69.4,50.0,14,28,2,9.7,11,74,27,1,54.2,58.7,89.3,67.4,89.7,0.3,2,2,51,0.3,2,583,7,102,93.8,547,49.2,287,107.3,147,6,49.7,290,1393,523,5.1,13.7,2.55
Julio Jones,6158,WR,ATL,16,14.7,12,61.5,34.9,15,43,1,8.3,8,67,2,0,59.3,82.8,91.7,,91.5,0.0,0,3,53,0.0,0,490,2,88,95.7,469,22.9,112,93.7,143,3,76.9,377,1444,489,5.6,16.4,3.08
Michael Thomas,10681,WR,NO,16,10.0,13,74.8,56.3,18,32,2,1.9,2,70,20,0,90.8,83.8,90.5,,90.9,0.0,0,3,43,0.0,0,545,4,104,95.4,520,22.8,124,104.8,139,5,77.2,421,1245,449,4.3,12.0,2.39
Demaryius Thomas,5547,WR,DEN,16,10.5,9,61.0,58.6,17,29,0,10.8,10,53,10,1,45.0,53.1,74.1,,73.0,0.2,1,9,40,0.0,0,584,3,83,93.5,546,18.2,106,66.7,136,5,81.3,475,949,291,3.5,11.4,1.74
Adam Thielen,8288,WR,MIN,16,11.1,8,67.4,51.7,15,29,0,5.2,5,58,18,3,73.6,26.6,82.5,66.8,80.3,0.8,5,1,65,0.3,2,595,4,91,92.1,548,51.8,308,104.4,135,4,47.2,281,1276,431,4.7,14.0,2.33
A.J. Green,6156,WR,CIN,16,14.3,8,56.0,43.2,19,44,0,6.3,5,55,7,2,71.7,27.8,82.2,,82.7,0.0,0,7,77,0.0,0,543,5,75,95.2,517,13.6,74,80.4,134,8,86.2,468,1078,292,3.9,14.4,2.09
Mike Evans,8642,WR,TB,15,14.6,2,53.8,42.6,23,54,2,5.3,4,55,30,1,77.0,81.7,79.3,,78.7,0.0,0,5,42,0.0,0,628,6,71,94.1,591,21.0,132,75.3,132,5,79.0,496,1001,108,1.5,14.1,1.69
Dez Bryant,5549,WR,DAL,16,12.2,14,54.8,35.0,14,40,0,14.8,12,44,9,1,28.9,48.1,72.7,,71.8,0.0,0,5,50,0.0,0,568,1,69,91.2,518,21.8,124,74.8,126,6,78.2,444,838,290,4.2,12.1,1.62
Travis Kelce,7844,TE,KC,15,9.5,16,70.9,40.0,6,15,0,7.8,7,55,16,0,64.4,82.7,82.5,49.7,86.3,28.6,163,3,44,5.6,32,569,5,83,89.8,511,46.4,264,110.3,117,8,23.7,135,1038,420,5.1,12.5,2.03
Golden Tate,5585,WR,DET,16,6.2,22,78.6,57.1,8,14,0,4.2,4,44,11,1,83.2,59.5,82.9,,82.4,0.2,1,5,71,0.0,0,575,2,92,92.3,531,79.0,454,98.8,117,5,20.9,120,1003,631,6.9,10.9,1.89
Alshon Jeffery,7048,WR,PHI,16,14.8,2,50.4,40.4,19,47,2,5.0,3,44,24,0,77.0,80.5,74.3,,75.0,0.0,0,1,53,0.0,0,585,7,57,93.8,549,15.9,93,96.1,113,9,84.1,492,789,202,3.5,13.8,1.44
Doug Baldwin,6615,WR,SEA,16,13.3,8,67.0,22.7,5,22,1,1.3,1,44,29,0,90.5,81.8,84.4,79.6,83.3,4.0,24,4,54,0.8,5,601,2,75,90.3,543,72.2,434,103.7,112,8,23.5,141,991,260,3.5,13.2,1.83
